Source_ID,Target_ID,Source_File,Target_File,Source_Member,Target_Member,Source_Member_Type,Target_Member_Type,Dependency_Type,Dependency_Count,Is_Member_Level,Source_Member_ID,Target_Member_ID,Source_Module,Target_Module
143,48,src/com/eteks/sweethome3d/viewcontroller/HomeController.java,src/com/eteks/sweethome3d/model/Home.java,addHomeItemsListener,addWallsListener,function,function,Call,62.0,True,7968,2148,sweetHome3DViewController,sweetHome3DModel
143,48,src/com/eteks/sweethome3d/viewcontroller/HomeController.java,src/com/eteks/sweethome3d/model/Home.java,addHomeItemsListener,addRoomsListener,function,function,Call,62.0,True,7968,2145,sweetHome3DViewController,sweetHome3DModel
143,48,src/com/eteks/sweethome3d/viewcontroller/HomeController.java,src/com/eteks/sweethome3d/model/Home.java,addHomeItemsListener,addDimensionLinesListener,function,function,Call,62.0,True,7968,2138,sweetHome3DViewController,sweetHome3DModel
143,48,src/com/eteks/sweethome3d/viewcontroller/HomeController.java,src/com/eteks/sweethome3d/model/Home.java,addHomeItemsListener,addLabelsListener,function,function,Call,62.0,True,7968,2141,sweetHome3DViewController,sweetHome3DModel
143,48,src/com/eteks/sweethome3d/viewcontroller/HomeController.java,src/com/eteks/sweethome3d/model/Home.java,undo,setModified,function,function,Call,62.0,True,8039,2203,sweetHome3DViewController,sweetHome3DModel
143,48,src/com/eteks/sweethome3d/viewcontroller/HomeController.java,src/com/eteks/sweethome3d/model/Home.java,redo,setModified,function,function,Call,62.0,True,8027,2203,sweetHome3DViewController,sweetHome3DModel
143,48,src/com/eteks/sweethome3d/viewcontroller/HomeController.java,src/com/eteks/sweethome3d/model/Home.java,paste,getSelectedItems,function,function,Call,62.0,True,8022,2175,sweetHome3DViewController,sweetHome3DModel
143,48,src/com/eteks/sweethome3d/viewcontroller/HomeController.java,src/com/eteks/sweethome3d/model/Home.java,addItems,getFurnitureSubList,function,function,Call,62.0,True,7971,2165,sweetHome3DViewController,sweetHome3DModel
143,48,src/com/eteks/sweethome3d/viewcontroller/HomeController.java,src/com/eteks/sweethome3d/model/Home.java,addItems,getWallsSubList,function,function,Call,62.0,True,7971,2182,sweetHome3DViewController,sweetHome3DModel
143,48,src/com/eteks/sweethome3d/viewcontroller/HomeController.java,src/com/eteks/sweethome3d/model/Home.java,addItems,getRoomsSubList,function,function,Call,62.0,True,7971,2174,sweetHome3DViewController,sweetHome3DModel
